climate_zone,standard,type,zone_wallU,zone_winU,zone_win_SHGC,zone_c_temp,zone_c_hum,zone_h_temp,zone_collingEER,zone_HeatingEER,zone_work_start,zone_work_end,zone_ppsm,zone_pfav,zone_popheat,zone_equipment,zone_lighting,zone_infiltration,zone_nightACH
climatezone1,GB55015-2021,RESIDENTIAL,0.25,1.6,0.45,26,0.6,20,2.8,2.0,0,23,0.033,30,70,4.3,5.0,0.5,0.5
climatezone1,GB/T51350-2019,RESIDENTIAL,0.15,1.0,0.45,26,0.6,20,3.5,2.5,0,23,0.033,30,70,3.0,3.0,0.1,0.3
climatezone2,GB55015-2021,RESIDENTIAL,0.4,2.0,0.45,26,0.6,20,2.8,2.2,0,23,0.033,30,70,4.3,5.0,0.5,0.8
climatezone2,GB/T51350-2019,RESIDENTIAL,0.2,1.2,0.45,26,0.6,20,3.5,2.8,0,23,0.033,30,70,3.0,3.0,0.1,0.5
climatezone3,GB55015-2021,RESIDENTIAL,0.55,2.4,0.35,26,0.6,18,2.8,2.3,0,23,0.033,30,70,4.3,5.0,0.6,1.5
climatezone3,GB/T51350-2019,RESIDENTIAL,0.35,1.8,0.3,26,0.6,20,3.5,3.0,0,23,0.033,30,70,3.0,3.0,0.15,2.0
climatezone4,GB55015-2021,RESIDENTIAL,1.5,3.0,0.25,26,0.6,16,2.8,2.5,0,23,0.033,30,70,4.3,5.0,0.7,2.0
climatezone4,GB/T51350-2019,RESIDENTIAL,0.5,2.2,0.2,26,0.6,18,3.5,3.2,0,23,0.033,30,70,3.0,3.0,0.15,3.0
climatezone5,GB55015-2021,RESIDENTIAL,1.0,3.0,0.4,26,0.6,16,2.8,2.5,0,23,0.033,30,70,4.3,5.0,0.6,1.5
climatezone5,GB/T51350-2019,RESIDENTIAL,0.6,2.2,0.35,26,0.6,18,3.5,3.2,0,23,0.033,30,70,3.0,3.0,0.15,2.0
climatezone1,GB55015-2021,OFFICE,0.35,1.8,0.45,26,0.6,20,2.8,2.0,8,18,0.1,30,75,15.0,8.0,0.5,0.5
climatezone1,GB/T51350-2019,OFFICE,0.15,1.2,0.45,26,0.6,20,3.5,2.5,8,18,0.1,30,75,10.0,4.0,0.1,0.3
climatezone2,GB55015-2021,OFFICE,0.45,2.2,0.45,26,0.6,20,2.8,2.2,8,18,0.1,30,75,15.0,8.0,0.5,0.8
climatezone2,GB/T51350-2019,OFFICE,0.18,1.5,0.45,26,0.6,20,3.5,2.8,8,18,0.1,30,75,10.0,4.0,0.1,0.5
climatezone3,GB55015-2021,OFFICE,0.6,2.5,0.35,26,0.6,18,2.8,2.3,8,18,0.1,30,75,15.0,8.0,0.6,1.5
climatezone3,GB/T51350-2019,OFFICE,0.4,2.0,0.3,26,0.6,20,3.5,3.0,8,18,0.1,30,75,10.0,4.0,0.15,2.0
climatezone4,GB55015-2021,OFFICE,1.0,3.0,0.25,26,0.6,16,2.8,2.5,8,18,0.1,30,75,15.0,8.0,0.7,2.0
climatezone4,GB/T51350-2019,OFFICE,0.6,2.5,0.2,26,0.6,18,3.5,3.2,8,18,0.1,30,75,10.0,4.0,0.15,3.0
climatezone5,GB55015-2021,OFFICE,1.0,3.0,0.4,26,0.6,16,2.8,2.5,8,18,0.1,30,75,15.0,8.0,0.6,1.5
climatezone5,GB/T51350-2019,OFFICE,0.6,2.5,0.35,26,0.6,18,3.5,3.2,8,18,0.1,30,75,10.0,4.0,0.15,2.0
climatezone1,GB55015-2021,COMMERCIAL,0.35,1.8,0.45,26,0.6,20,2.8,2.0,10,21,0.25,30,100,13.0,9.0,0.5,0.5
climatezone1,GB/T51350-2019,COMMERCIAL,0.15,1.2,0.45,26,0.6,20,3.5,2.5,10,21,0.25,30,100,9.0,7.0,0.1,0.3
climatezone2,GB55015-2021,COMMERCIAL,0.45,2.2,0.45,26,0.6,20,2.8,2.2,10,21,0.25,30,100,13.0,9.0,0.5,0.8
climatezone2,GB/T51350-2019,COMMERCIAL,0.18,1.5,0.45,26,0.6,20,3.5,2.8,10,21,0.25,30,100,9.0,7.0,0.1,0.5
climatezone3,GB55015-2021,COMMERCIAL,0.6,2.5,0.35,26,0.6,18,2.8,2.3,10,21,0.25,30,100,13.0,9.0,0.6,1.5
climatezone3,GB/T51350-2019,COMMERCIAL,0.4,2.0,0.3,26,0.6,20,3.5,3.0,10,21,0.25,30,100,9.0,7.0,0.15,2.0
climatezone4,GB55015-2021,COMMERCIAL,1.0,3.0,0.25,26,0.6,16,2.8,2.5,10,21,0.25,30,100,13.0,9.0,0.7,2.0
climatezone4,GB/T51350-2019,COMMERCIAL,0.6,2.5,0.2,26,0.6,18,3.5,3.2,10,21,0.25,30,100,9.0,7.0,0.15,3.0
